known_heads,shared_tail,target_relation,answers
"[('BLT', 'used_for'), ('Mesenteric Release Treatment', 'used_for')]",inquiry,used_for,['Experimentation']
"[('LCK Deficiency', 'manifestation_of'), ('GAMMA-A-GLOBULIN, SELECTIVE DEFICIENCY OF', 'manifestation_of')]",autoimmune disease (diagnosis),used_for,"['Immun', 'Autoimmune Status']"
"[('LCK Deficiency', 'manifestation_of'), ('GAMMA-A-GLOBULIN, SELECTIVE DEFICIENCY OF', 'manifestation_of')]",autoimmune disease (diagnosis),has_component,"['Have you been diagnosed with any type of autoimmune disease - lupus, scleroderma, etc:Finding:To identify measures at a point in time:^Patient:Ordinal:PhenX', 'PhenX measure - autoimmune diseases related to type 1 diabetes:-:To identify measures at a point in time:^Patient:-:PhenX']"
"[('LCK Deficiency', 'manifestation_of'), ('GAMMA-A-GLOBULIN, SELECTIVE DEFICIENCY OF', 'manifestation_of')]",autoimmune disease (diagnosis),contraindicated_with_disease,['interferon alfa-2a (medication)']
"[('PERINEUM DRAINAGE INCREASED', 'clinically_associated_with'), ('Colonic diverticular abscess (disorder)', 'co-occurs_with')]",Colostomy operation (procedure),used_for,['colon surgery (treatment)']
"[('PERINEUM DRAINAGE INCREASED', 'clinically_associated_with'), ('Colonic diverticular abscess (disorder)', 'co-occurs_with')]",Colostomy operation (procedure),associated_with,"['colon; stoma, status', 'hernia secondary to colostomy (diagnosis)']"
"[('PERINEUM DRAINAGE INCREASED', 'clinically_associated_with'), ('Colonic diverticular abscess (disorder)', 'co-occurs_with')]",Colostomy operation (procedure),co-occurs_with,['Malignant neo colon NOS']
"[('Diaphragmatic (qualifier value)', 'has_finding_site'), ('Space of abdominal compartment', 'has_finding_site')]",sliding hiatal hernia (diagnosis),clinically_associated_with,['Ischaemic chest pain (disorder)']
"[('ARTHRALGIA CHRONIC', 'clinically_associated_with'), ('Membranous nephritis NOS', 'clinically_associated_with')]",collagen vascular disease (diagnosis),clinically_associated_with,['Anemia of chronic disease (disorder)']
"[('polyarticular joint pain', 'clinically_associated_with'), ('LOEYS-DIETZ SYNDROME WITH OSTEOARTHRITIS', 'manifestation_of')]",aortic aneurysm (diagnosis),contraindicated_with_disease,['minoxidil (medication)']
"[('polyarticular joint pain', 'clinically_associated_with'), ('LOEYS-DIETZ SYNDROME WITH OSTEOARTHRITIS', 'manifestation_of')]",aortic aneurysm (diagnosis),associated_morphology_of,['Unspecified aneurysm (disorder)']
"[('COUGH WITH MICTURITION', 'clinically_associated_with'), ('UROSEPSIS RECURRENT', 'clinically_associated_with')]",urinary incontinence (diagnosis),associated_with,['reproductive and urinary system']
"[('COUGH WITH MICTURITION', 'clinically_associated_with'), ('UROSEPSIS RECURRENT', 'clinically_associated_with')]",urinary incontinence (diagnosis),has_focus,"['Insertion of transobturator tape for female urinary incontinence (procedure)', 'urinary incontinence presence or absence assessed']"
"[('COUGH WITH MICTURITION', 'clinically_associated_with'), ('UROSEPSIS RECURRENT', 'clinically_associated_with')]",urinary incontinence (diagnosis),may_treat,['phenylpropanolamine hydrochloride (medication)']
"[('COUGH WITH MICTURITION', 'clinically_associated_with'), ('UROSEPSIS RECURRENT', 'clinically_associated_with')]",urinary incontinence (diagnosis),clinically_associated_with,"[""Lou Gehrig's disease (ALS)""]"
"[('Reticuloendothelial System, Platelets', 'co-occurs_with'), ('Blood erythrocyte concentration (observable entity)', 'has_component')]",hematocrit level test,used_for,['blood cell counts (lab test)']
"[('Reticuloendothelial System, Platelets', 'co-occurs_with'), ('Blood erythrocyte concentration (observable entity)', 'has_component')]",hematocrit level test,co-occurs_with,['anemia (diagnosis)']
"[('sadistic behavior (symptom)', 'used_for'), ('Courtships', 'used_for')]",Finding related to sexual behavior (finding),used_for,['psychosexual behavior']
"[('Diffuse chronic inflammation (morphologic abnormality)', 'co-occurs_with'), ('LOPEZ-GUTIERREZ SYNDROME', 'manifestation_of')]",lymphedema (diagnosis),co-occurs_with,['Diffuse chronic inflammation (morphologic abnormality)']
"[('Emphysema (lung)(pulmonary) NOS', 'may_treat'), ('amyloidosis (diagnosis)', 'may_treat')]",Acetylcysteine - chemical (substance),has_component,['ACMP/BCNU/NAC']
"[('Emphysema (lung)(pulmonary) NOS', 'may_treat'), ('amyloidosis (diagnosis)', 'may_treat')]",Acetylcysteine - chemical (substance),has_ingredient,"['acetylcysteine 500 MG', 'acetylcysteine Extended Release Oral Capsule', 'acetylcysteine@@MISCELL@POWDER (GRAM)', 'ACETYLCYSTEINE 500MG TAB']"
"[('Emphysema (lung)(pulmonary) NOS', 'may_treat'), ('amyloidosis (diagnosis)', 'may_treat')]",Acetylcysteine - chemical (substance),has_active_ingredient,"['Respiratory form acetylcysteine', 'ACETYLCYSTEINE 200MG/ML (PF) INJ SOLN']"
"[('Emphysema (lung)(pulmonary) NOS', 'may_treat'), ('amyloidosis (diagnosis)', 'may_treat')]",Acetylcysteine - chemical (substance),physiologic_effect_of,['Decreased Respiratory Secretion Viscosity [PE]']
"[('Emphysema (lung)(pulmonary) NOS', 'may_treat'), ('amyloidosis (diagnosis)', 'may_treat')]",Acetylcysteine - chemical (substance),therapeutic_class_of,"['Antidotes, Deterrents, and Toxicologic Agents']"
"[('generalized convulsive tonic-clonic seizure', 'may_treat'), ('bipolar disorder NOS (diagnosis)', 'may_treat')]",carbamazepine (medication),has_component,"['urine drug screen carbamazepine (lab test)', 'Carbamazepine blood measurement (procedure)', 'carbamazepine and metabolites panel in serum or plasma (lab test)', 'Measurement of free carbamazepine (procedure)']"
"[('generalized convulsive tonic-clonic seizure', 'may_treat'), ('bipolar disorder NOS (diagnosis)', 'may_treat')]",carbamazepine (medication),has_ingredient,"['carBAMazepine Oral Liquid Product', 'carBAMazepine 200 MG/ML', 'Carbamazepine 200mg chewable tablet (substance)']"
"[('generalized convulsive tonic-clonic seizure', 'may_treat'), ('bipolar disorder NOS (diagnosis)', 'may_treat')]",carbamazepine (medication),has_active_ingredient,"['CARBAMAZEPINE 100 mg ORAL TABLET [Carbamazepine]', 'Carbamazepine 400 MILLIGRAM In 1 TABLET ORAL TABLET']"
"[('generalized convulsive tonic-clonic seizure', 'may_treat'), ('bipolar disorder NOS (diagnosis)', 'may_treat')]",carbamazepine (medication),therapeutic_class_of,['Antidepressives']
"[('generalized convulsive tonic-clonic seizure', 'may_treat'), ('bipolar disorder NOS (diagnosis)', 'may_treat')]",carbamazepine (medication),mechanism_of_action_of,['Cytochrome P450 2C9 Inducers [MoA]']
"[('HADDTS', 'manifestation_of'), ('NDHMSR', 'manifestation_of')]",Poor muscle tone (finding),associated_with,['oropharynx hypotonia (physical finding)']
"[('DEFIBRILLATOR PLACEMENT AUTOMATIC TRANSVENOUS', 'clinically_associated_with'), ('CHEST PAIN TIMING PROLONGED', 'co-occurs_with')]",acute myocardial infarction (diagnosis),associated_with,['Arterial Sclerosis']
"[('DEFIBRILLATOR PLACEMENT AUTOMATIC TRANSVENOUS', 'clinically_associated_with'), ('CHEST PAIN TIMING PROLONGED', 'co-occurs_with')]",acute myocardial infarction (diagnosis),has_focus,"['stent indications: acute myocardial infarction (treatment)', 'percutaneous coronary revascularization during acute myocardial infarction (treatment)']"
"[('Exocrine pancreatic insufficiency (EPI)', 'location_of'), ('Acute necrotizing pancreatitis (disorder)', 'location_of')]",Structure of pancreas,has_finding_site,"['Pancreatic periductular fibrosis (disorder)', 'giant cell type neoplasm of pancreas (diagnosis)', 'angioimmunoblastic T-cell lymphoma of pancreas not having achieved remission (diagnosis)', 'primary sarcoma of pancreas (diagnosis)', 'Abnormal radiographic imaging of pancreas (finding)', 'Pancreatic Microcystic Adenoma', 'mucinous cystadenoma of pancreas (diagnosis)', 'acinar cell cystadenocarcinoma (diagnosis)', 'postsurgical state acquired absence of organ pancreas', 'Pancreatic NEC', '[X]Other specified diseases of pancreas (disorder)', 'biopsy of pancreas showed NK/T-cell lymphoma (procedure)', 'Pancreatic Intraductal Papillary-Mucinous Neoplasm with Intermediate Grade Dysplasia', 'Fibrocalculous pancreatopathy without complication (disorder)', 'Infectious pancreatic necrosis of fish (disorder)', 'malignant insulinoma of pancreas (diagnosis)', 'Benign beta cell adenoma', 'noninvasive mucinous cystadenocarcinoma of pancreas (diagnosis)', 'mucinous cystic neoplasm with invasive carcinoma of pancreas (diagnosis)']"
"[('Exocrine pancreatic insufficiency (EPI)', 'location_of'), ('Acute necrotizing pancreatitis (disorder)', 'location_of')]",Structure of pancreas,has_direct_procedure_site,"['Sphincterotomy of sphincter of Oddi by endoscopic retrograde cholangiopancreatography', 'Computed tomography dual phase study of pancreas', 'inspection of pancreas (treatment)', 'Biopsy of pancreas using fluoroscopic guidance (procedure)']"
"[('Exocrine pancreatic insufficiency (EPI)', 'location_of'), ('Acute necrotizing pancreatitis (disorder)', 'location_of')]",Structure of pancreas,has_procedure_site,"['pancreatic biopsy percutaneous needle', 'Retired procedure [55541009]', 'Endo cholangiopancreatograph', 'Drain pancreatic pseudocyst', 'Ercp w/specimen collection', 'laparoscopic cholecystectomy with cholangiography (treatment)', 'ERCP with biopsy', 'total pancreatectomy (treatment)', 'Excision of lesion of pancreas (procedure)', 'CT scan of pancreas without contrast (procedure)', 'Open pancreatic biopsy', 'Total pancreaticoduodenectomy (procedure)']"
"[('ethinyl estradiol (medication)', 'has_active_ingredient'), ('oral contraceptives levonorgestrel', 'has_active_ingredient')]",oral contraceptives levonorgestrel + ethinyl estradiol + ferrous bisglycinate,has_ingredient,"['Balcoltra 0.1mg-0.02mg/36.5mg Tablet', 'Inert Oral tablet, Levonorgestrel 0.1mg, Ethinyl Estradiol 0.02mg Oral tablet']"
"[('Tobacco consumption NOS (observable entity)', 'contraindicated_with_disease'), ('oral contraceptives mestranol preparations', 'used_for')]",ethinyl estradiol (medication),has_component,['CALF-E']
"[('Tobacco consumption NOS (observable entity)', 'contraindicated_with_disease'), ('oral contraceptives mestranol preparations', 'used_for')]",ethinyl estradiol (medication),has_ingredient,['Brevicon 21 Day Pack']
"[('Tobacco consumption NOS (observable entity)', 'contraindicated_with_disease'), ('oral contraceptives mestranol preparations', 'used_for')]",ethinyl estradiol (medication),has_active_ingredient,"['Desogestrel + Ethinylestradiol', '(ethinyl estradiol + norgestrel) + (inert ingredients) (medication)', 'ETHINYL ESTRADIOL 0.035MG/NORETHINDRONE 0.4MG TAB', 'ethinyl estradiol + norethindrone + ferrous fumarate (medication)', 'Product containing ethinylestradiol and segesterone (medicinal product)', 'norgestimate 0.25 mg / ethinyl estradiol 0.035 mg ORAL TABLET, COATED', 'ethinyl estradiol + norgestrel (medication)', 'ethinyl estradiol + etonogestrel (medication)', 'oral contraceptives levonorgestrel + ethinyl estradiol + ferrous bisglycinate', 'Desogestrel 0.125mg/ethinyl oestradiol 0.025mg tablet', 'oral contraceptives ethinyl estradiol + ethynodiol diacetate', 'ethynylestradiol mixture with norethindrone']"
"[('Tobacco consumption NOS (observable entity)', 'contraindicated_with_disease'), ('oral contraceptives mestranol preparations', 'used_for')]",ethinyl estradiol (medication),physiologic_effect_of,['Bone Formation Stimulation']
"[('Tobacco consumption NOS (observable entity)', 'contraindicated_with_disease'), ('oral contraceptives mestranol preparations', 'used_for')]",ethinyl estradiol (medication),therapeutic_class_of,"['Hormonal Agents, Suppressant (Sex Hormones/Modifiers)']"
"[('respiratory alkalosis (diagnosis)', 'contraindicated_with_disease'), ('Oxygen supply absent (finding)', 'contraindicated_with_disease')]",Lacolin,has_ingredient,"['SODIUM CHLORIDE 600 mg in 100 mL / SODIUM LACTATE 310 mg in 100 mL / POTASSIUM CHLORIDE 30 mg in 100 mL / CALCIUM CHLORIDE 20 mg in 100 mL IRRIGATION IRRIGANT [Lactated Ringers]', 'Sodium Lactate 167mEq/1L Solution for injection']"
"[('respiratory alkalosis (diagnosis)', 'contraindicated_with_disease'), ('Oxygen supply absent (finding)', 'contraindicated_with_disease')]",Lacolin,has_active_ingredient,"['SODIUM CHLORIDE 0.6 g in 100 mL / SODIUM LACTATE 0.31 g in 100 mL / POTASSIUM CHLORIDE 0.03 g in 100 mL / CALCIUM CHLORIDE 0.02 g in 100 mL INTRAVENOUS INJECTION, SOLUTION [Lactated Ringers]', 'DEXTROSE MONOHYDRATE 5 g in 100 mL / SODIUM CHLORIDE 600 mg in 100 mL / SODIUM LACTATE 310 mg in 100 mL / POTASSIUM CHLORIDE 30 mg in 100 mL / CALCIUM CHLORIDE 20 mg in 100 mL INTRAVENOUS INJECTION, SOLUTION [Lactated Ringers and Dextrose]']"
"[('respiratory alkalosis (diagnosis)', 'contraindicated_with_disease'), ('Oxygen supply absent (finding)', 'contraindicated_with_disease')]",Lacolin,physiologic_effect_of,['Increased Renal HCO3- Excretion [PE]']
"[('respiratory alkalosis (diagnosis)', 'contraindicated_with_disease'), ('Oxygen supply absent (finding)', 'contraindicated_with_disease')]",Lacolin,mechanism_of_action_of,['Electrolyte Activity [MoA]']
"[('AI1H', 'manifestation_of'), ('AI2A5', 'manifestation_of')]",amelogenesis imperfecta (diagnosis),used_for,['odontologic disorders']
"[('coryza (physical finding)', 'used_for'), ('EMPHYSEMA ACUTE BOVINE PULM', 'associated_with')]",ACUTE DIS,contraindicated_with_disease,['cromolyn sodium (medication)']
"[('PROSTATE BIOPSY PENDING', 'co-occurs_with'), ('PROSTATE NODULE HARD', 'co-occurs_with')]",prostatic enlargement was observed,associated_with,['reproductive and urinary system']
"[('PROSTATE BIOPSY PENDING', 'co-occurs_with'), ('PROSTATE NODULE HARD', 'co-occurs_with')]",prostatic enlargement was observed,clinically_associated_with,['Unspecified abdominal pain']
"[('episcleritis (diagnosis)', 'used_for'), ('aqueous outflow obstruction', 'used_for')]",Ophthalmological disorder (disorder),associated_with,['Ophthalmitis (disorder)']
"[('Mepenzolate (substance)', 'therapeutic_class_of'), ('Senokot-S', 'therapeutic_class_of')]",Gastrointestinal Agent [TC],has_active_ingredient,"['Cetrimide + dimeticone (product)', 'Substance p/neurokinin 1 receptor antagonist (substance)', 'Bitters and tonics (substance)']"
"[('hydrocodone bitartrate (medication)', 'associated_with'), ('Dextromethorphan Hydriodide', 'therapeutic_class_of')]",Cough Medicines,may_treat,"['doxylamine succinate, (R)-']"
"[(""Clouston's Hidrotic Ectodermal Dysplasia"", 'used_for'), ('DHOF', 'used_for')]",Congenital malformation of the skin (disorder),may_treat,['vaginal preparations allantoin vaginal']
"[(""Clouston's Hidrotic Ectodermal Dysplasia"", 'used_for'), ('DHOF', 'used_for')]",Congenital malformation of the skin (disorder),associated_morphology_of,['Congenital Anomaly or Birth Defect']
"[('APLDC3', 'manifestation_of'), ('C3 DEFICIENCY, AUTOSOMAL RECESSIVE', 'manifestation_of')]",nephropathy due to membranoproliferative glomerulonephritis,associated_with,['recurrent and persistent IgA nephropathy with diffuse membranoproliferative glomerulonephritis (diagnosis)']
"[('Spinal meningocele NOS (disorder)', 'used_for'), ('hernia; spinal', 'used_for')]",meningomyelocele (diagnosis),has_focus,['repair of myelomeningocele (treatment)']
"[('Spinal meningocele NOS (disorder)', 'used_for'), ('hernia; spinal', 'used_for')]",meningomyelocele (diagnosis),clinically_associated_with,['Intrauterine pregnancy (finding)']
"[('chest pain or discomfort reported as pain', 'contraindicated_with_disease'), ('Intubation - action (qualifier value)', 'contraindicated_with_disease')]",Aldesleukin - chemical (substance),has_component,['CDDP/IL-2']
"[('chest pain or discomfort reported as pain', 'contraindicated_with_disease'), ('Intubation - action (qualifier value)', 'contraindicated_with_disease')]",Aldesleukin - chemical (substance),has_ingredient,"['aldesleukin 22000000 intl units intravenous powder for injection', 'ALDESLEUKIN 1.1 mg in 1 mL INTRAVENOUS INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION [PROLEUKIN]', 'Product containing aldesleukin in parenteral dose form (medicinal product form)']"
"[(""Richter's transformation"", 'clinically_associated_with'), ('metatarsectomy (treatment)', 'clinically_associated_with')]",Hematopoeitic - Chronic Lymphocytic Leukemia (CLL),associated_with,['types leukemia']
"[(""Richter's transformation"", 'clinically_associated_with'), ('metatarsectomy (treatment)', 'clinically_associated_with')]",Hematopoeitic - Chronic Lymphocytic Leukemia (CLL),has_focus,"['lymphoma, CLL screen panel by flow cytometry (procedure)']"
"[(""Richter's transformation"", 'clinically_associated_with'), ('metatarsectomy (treatment)', 'clinically_associated_with')]",Hematopoeitic - Chronic Lymphocytic Leukemia (CLL),may_treat,['6-mercaptopurine (medication)']
"[(""Richter's transformation"", 'clinically_associated_with'), ('metatarsectomy (treatment)', 'clinically_associated_with')]",Hematopoeitic - Chronic Lymphocytic Leukemia (CLL),clinically_associated_with,['anemia (diagnosis)']
"[('BARIUM ENEMA NOT PERFORMED', 'co-occurs_with'), ('colon tumor cancer', 'clinically_associated_with')]",Faecal occult blood: positive (situation),location_of,['crap']
"[('BARIUM ENEMA NOT PERFORMED', 'co-occurs_with'), ('colon tumor cancer', 'clinically_associated_with')]",Faecal occult blood: positive (situation),clinically_associated_with,['Unspecified abdominal pain']
"[('chronic peptic ulcer (diagnosis)', 'causative_agent_of'), ('GDU', 'causative_agent_of')]",Gastric acid (substance),has_component,['gastric acid suppression test (procedure)']
"[('acquired deviated nasal septum (diagnosis)', 'location_of'), ('Congenital malposition of nasal septum (disorder)', 'location_of')]",Nasal septum structure (body structure),has_finding_site,"['deviated nasal septum (physical finding)', 'Malignant epithelial neoplasm of nasal septum']"
"[('acquired deviated nasal septum (diagnosis)', 'location_of'), ('Congenital malposition of nasal septum (disorder)', 'location_of')]",Nasal septum structure (body structure),has_direct_procedure_site,"['partial excision of nasal septum (treatment)', 'harvest of cartilage graft from nasal septum (treatment)', 'Endoscopic closure of perforation of nasal septum (procedure)']"
"[('acquired deviated nasal septum (diagnosis)', 'location_of'), ('Congenital malposition of nasal septum (disorder)', 'location_of')]",Nasal septum structure (body structure),has_procedure_site,"['Open tx septal fx w/wo stabj', 'Closure of perforation of nasal septum (procedure)']"
"[('Diabetes mellitus (E08-E13)', 'contraindicated_with_disease'), ('abnormal collection of air in tissues', 'contraindicated_with_disease')]",Aspergillus fumigates,has_ingredient,['ASPERGILLUS FUMIGATUS 1:500 INJ']
"[('diphenhydramine (medication)', 'has_active_ingredient'), ('non-prescription naproxen', 'has_active_ingredient')]",diphenhydramine + naproxen (medication),has_ingredient,['Diphenhydramine Hydrochloride/Naproxen Sodium 25 MG-220 MG Oral Tablet [GOOD SENSE NAPROXEN SODIUM PM]']
"[('solumedrol', 'used_for'), ('synovitis (diagnosis)', 'may_treat')]",methylprednisolone (medication),has_ingredient,"['methylPREDNISolone acetate 0.005 MG/MG', 'methylPREDNISolone acetate 40 ML', 'Methylprednisolone 2mg tablet (substance)', 'methylPREDNISolone 1 g preservative-free injectable powder for injection']"
"[('solumedrol', 'used_for'), ('synovitis (diagnosis)', 'may_treat')]",methylprednisolone (medication),has_active_ingredient,"['METHYLPREDNISOLONE 32MG TAB', 'neomycin + methylprednisolone (ophthalmic) (medication)', 'methylprednisolone + lidocaine (medication)', 'Topical form methylprednisolone (product)']"
"[('solumedrol', 'used_for'), ('synovitis (diagnosis)', 'may_treat')]",methylprednisolone (medication),physiologic_effect_of,['Decreased Capillary Permeability']
"[('solumedrol', 'used_for'), ('synovitis (diagnosis)', 'may_treat')]",methylprednisolone (medication),mechanism_of_action_of,['Corticosteroid Hormone Receptor Agonists [MoA]']
"[('solumedrol', 'used_for'), ('synovitis (diagnosis)', 'may_treat')]",methylprednisolone (medication),associated_with,['Topical form corticosteroids (product)']
"[('Ischemic stroke without coma (diagnosis)', 'associated_morphology_of'), ('pulmonary infarction (diagnosis)', 'associated_morphology_of')]",Infarct (morphologic abnormality),may_treat,['nitrous oxide (medication)']
"[('Oxalosis 1', 'manifestation_of'), ('Pseudoglioma with bone fragility', 'manifestation_of')]",Personal history of pathologic fracture,associated_with,"['senile osteoporosis with current pathological fracture (diagnosis)', 'senile osteoporosis with current pathological fracture of other site (diagnosis)']"
"[('Oxalosis 1', 'manifestation_of'), ('Pseudoglioma with bone fragility', 'manifestation_of')]",Personal history of pathologic fracture,co-occurs_with,['Malignant neoplasms of breast (C50)']
"[('EEM SYNDROME', 'manifestation_of'), ('TIBIAL HEMIMELIA-POLYDACTYLY-TRIPHALANGEAL THUMBS WITH FIBULAR DIMELIA', 'manifestation_of')]",syndactyly (diagnosis),associated_with,['syndactyly syndrome']
"[('EEM SYNDROME', 'manifestation_of'), ('TIBIAL HEMIMELIA-POLYDACTYLY-TRIPHALANGEAL THUMBS WITH FIBULAR DIMELIA', 'manifestation_of')]",syndactyly (diagnosis),associated_morphology_of,"['Congenital abnormal fusion (morphologic abnormality)', 'Abnormally fused structure (morphologic abnormality)']"
"[('Urethral ulcer (disorder)', 'associated_morphology_of'), ('corneal erosion (physical finding)', 'associated_morphology_of')]",Ulcer (disorder),has_component,"['Inflamed, swollen, or bleeding gums, oral abscesses; ulcers or rashes:Finding:To identify measures at a point in time:^Patient:Ordinal:MDS']"
"[('Urethral ulcer (disorder)', 'associated_morphology_of'), ('corneal erosion (physical finding)', 'associated_morphology_of')]",Ulcer (disorder),associated_with,['atherosclerosis extremities with ulcerations without gangrene (diagnosis)']
"[('Urethral ulcer (disorder)', 'associated_morphology_of'), ('corneal erosion (physical finding)', 'associated_morphology_of')]",Ulcer (disorder),contraindicated_with_disease,['sedatives chloral hydrate']
"[('Urethral ulcer (disorder)', 'associated_morphology_of'), ('corneal erosion (physical finding)', 'associated_morphology_of')]",Ulcer (disorder),has_focus,['Evaluation of ulcer healing (procedure)']
"[('PFIC2', 'manifestation_of'), ('PFIC9', 'manifestation_of')]",Intrahepatic cholestasis (finding),may_treat,['fish oil (containing omega-3 acids)']
"[('VCRL3', 'manifestation_of'), ('PBD12A', 'manifestation_of')]",double outlet of right ventricle (diagnosis),associated_with,['single inlet left ventricle with hypoplastic double outlet right ventricle (diagnosis)']
"[('VCRL3', 'manifestation_of'), ('PBD12A', 'manifestation_of')]",double outlet of right ventricle (diagnosis),has_phenotype,"['ZFPM2, ILE227MET', 'NKX2-5, 3-BP DEL, 871AAC']"
"[('VCRL3', 'manifestation_of'), ('PBD12A', 'manifestation_of')]",double outlet of right ventricle (diagnosis),associated_morphology_of,['Congenital Anomaly or Birth Defect']
"[('Elevated circulating D-dimer concentration', 'clinically_associated_with'), ('Retroperitoneal hemorrhage (disorder)', 'clinically_associated_with')]",bacterial infection of the kidney,associated_with,"['sarcoidosis with pyelonephritis (diagnosis)', 'renal disease (diagnosis)']"
"[('Elevated circulating D-dimer concentration', 'clinically_associated_with'), ('Retroperitoneal hemorrhage (disorder)', 'clinically_associated_with')]",bacterial infection of the kidney,may_treat,['ciprofloxacin (medication)']
"[('Elevated circulating D-dimer concentration', 'clinically_associated_with'), ('Retroperitoneal hemorrhage (disorder)', 'clinically_associated_with')]",bacterial infection of the kidney,pathological_process_of,['RNDx infection unspecified']
"[('hematemesis was observed', 'associated_morphology_of'), ('Suprachoroidal hemorrhage (disorder)', 'associated_morphology_of')]",bleeding (symptom),associated_with,"['hemorrhage complicating procedure (diagnosis)', 'Idiopathic thrombocythemia (morphologic abnormality)', 'diverticulitis of colon with perforation and abscess with hemorrhage (diagnosis)', 'laryngopharyngeal reflux with bleeding (diagnosis)', 'Chronic superficial gastritis with bleeding', 'esophageal erosion with bleeding (diagnosis)', 'antiphospholipid antibody syndrome with hemorrhagic disorder (diagnosis)']"
"[('hematemesis was observed', 'associated_morphology_of'), ('Suprachoroidal hemorrhage (disorder)', 'associated_morphology_of')]",bleeding (symptom),has_focus,"['Control of haemorrhage (procedure)', 'Endoscopic injection of small intestine for control of hemorrhage (procedure)', 'Insertion of Brighton epistaxis balloon (procedure)', 'Endoscopic thermocoagulation of oesophageal haemorrhage', 'Thoracoscopy with control of traumatic hemorrhage (procedure)', 'cardiac catheterization perforation of heart with resulting mediastinal bleed (procedure)', 'Laser photocoagulation of hemorrhage (procedure)']"
"[('hematemesis was observed', 'associated_morphology_of'), ('Suprachoroidal hemorrhage (disorder)', 'associated_morphology_of')]",bleeding (symptom),clinically_associated_with,['blood transfusion (treatment)']
"[('Lacrimal sac structure', 'has_procedure_site'), ('NASAL SURGERY MULTIPLE', 'clinically_associated_with')]",Fistulization of lacrimal sac to nasal cavity,clinically_associated_with,['(Hypertensive disease) or (hypertension) (disorder)']
"[('Trunk closure (procedure)', 'method_of'), ('Hand closure (procedure)', 'method_of')]",Reparative closure (procedure),has_focus,['laparoscopic appendectomy fascia of port closed (treatment)']
"[('INGUINAL LYMPH NODE METASTASIS', 'clinically_associated_with'), ('AXILLARY LYMPH NODE INVOLVEMENT', 'clinically_associated_with')]",Metastasis to lymph node (disorder),associated_with,"['thyroid malignant carcinoma papillary metastatic to regional lymph node', 'NAA with non-probe detection for cytokeratin 19 mRNA for cancer metastasis in lymph node (lab test)']"
"[('INGUINAL LYMPH NODE METASTASIS', 'clinically_associated_with'), ('AXILLARY LYMPH NODE INVOLVEMENT', 'clinically_associated_with')]",Metastasis to lymph node (disorder),associated_morphology_of,['metastatic; cancer or neoplasm']
"[('GI preparations laxatives', 'has_active_ingredient'), ('mineral supplements magnesium', 'has_active_ingredient')]","aluminum hydroxide, magnesium hydroxide, drug combination",has_ingredient,"['aluminum hydroxide 500 MG / milk of magnesia 500 MG per 5 ML Oral Suspension', 'aluminum hydroxide 200 MG / milk of magnesia 200 MG Chewable Tab', 'FERROUS SULF 200/ALOH MGOH 200MG TAB']"
"[('Reason of limitation', 'location_of'), ('Patient unstable as reason of limitation', 'location_of')]",Anal structure (body structure),used_for,['ano rectal']
"[('Reason of limitation', 'location_of'), ('Patient unstable as reason of limitation', 'location_of')]",Anal structure (body structure),has_finding_site,"['anus; fissure, congenital', 'mucoepidermoid carcinoma of anus (diagnosis)', 'Sphincteric disobedience syndrome', 'mucinous adenocarcinoma of anus (diagnosis)', 'melanoma in situ of anus (diagnosis)', 'primary malignant mesenchymal neoplasm of anus (diagnosis)', 'superficial bite of anus (diagnosis)', 'wound of anus (physical finding)', 'anal necrosis', 'Inflammation of ileoanal pouch (disorder)', 'Anal reflex reduced (finding)', 'Leukoplakia of anus (disorder)', 'Splinter of anus with infection (disorder)', 'open wound of anus with exposed bone (physical finding)', 'CMN SYNDROME', 'Acquired anal stenosis (disorder)', 'basaloid carcinoma of anus (diagnosis)', 'anal laceration (diagnosis)', 'squamous cell carcinoma of anal margin (diagnosis)', 'Mucus discharge from anus (finding)', 'Pseudocoprostasis (disorder)', 'Puncture wound of anus (disorder)', 'angioimmunoblastic T-cell lymphoma of anus not having achieved remission (diagnosis)', 'full thickness wound of anus (physical finding)', 'neuroendocrine carcinoma of anus (diagnosis)']"
"[('Reason of limitation', 'location_of'), ('Patient unstable as reason of limitation', 'location_of')]",Anal structure (body structure),has_direct_procedure_site,"['Fluoroscopy of fistula of anus with contrast (procedure)', 'Formation of artificial anus (procedure)', 'Excision of lesion of perianal gland (procedure)', 'jejunal bypass to anus', 'CT Guidance for drainage and placement of drainage catheter of anus (procedure)', 'Fine needle aspiration biopsy of anus (procedure)']"
"[('Reason of limitation', 'location_of'), ('Patient unstable as reason of limitation', 'location_of')]",Anal structure (body structure),has_procedure_site,"['Incision of septum of anus (procedure)', 'construction of anus for congenital absence via combined abdominal and perineal approach (treatment)', 'anoplasty of stricture in infant (treatment)', 'anoscopy for foreign body removal (treatment)', 'PRCTECT PRTL W/MUCOSEC ILEOANAL ANAST RSVR', 'Remove in/ex hem grp & fiss', 'excision of ileoanal reservoir with ileostomy (treatment)', 'COLCT TTL ABD W/PRCTECT ILEOANAL ANAST & RSVR', 'Operation on anus (procedure)']"
